
algo,input,mib_per_s
naive,wp.txt,721
naive,long.txt,720
naiveLessBranches,long.txt,665
naiveLessBranches,wp.txt,666
naiveTableChar,wp.txt,1595
naiveTableChar,long.txt,1585
naiveTableInt,wp.txt,1891
naiveTableInt,long.txt,1836
autoVec_64_Orig,long.txt,11747
autoVec_64_Orig,wp.txt,26326
autoVec_32,long.txt,10367
autoVec_32,wp.txt,13924
autoVec_64,long.txt,11764
autoVec_64,wp.txt,26719
autoVec_128_WithOverflow,long.txt,12133
autoVec_128_WithOverflow,wp.txt,35220
autoVec_128,long.txt,10651
autoVec_128,wp.txt,17302
autoVec_128_IntStepCounter,wp.txt,8097
autoVec_128_IntStepCounter,long.txt,7572
autoVec_256,long.txt,11320
autoVec_256,wp.txt,19830
autoVec_256_IntStepCounter,long.txt,8037
autoVec_256_IntStepCounter,wp.txt,8716
autoVec_512,wp.txt,20980
autoVec_512,long.txt,11721
autoVec_1024,long.txt,10832
autoVec_1024,wp.txt,16310
autoVec_2048,long.txt,11820
autoVec_2048,wp.txt,15895
manualVec_64_Orig,long.txt,11970
manualVec_64_Orig,wp.txt,29227
manualVec_32,long.txt,11694
manualVec_32,wp.txt,24317
manualVec_64,long.txt,12298
manualVec_64,wp.txt,35572
manualVec_128,wp.txt,42053
manualVec_128,long.txt,12232
manualVec_256,wp.txt,45544
manualVec_256,long.txt,12991
manualVec_512,long.txt,15288
manualVec_512,wp.txt,46591
manualVec_1024,wp.txt,42596
manualVec_1024,long.txt,12375
manualVec_2048,long.txt,9438
manualVec_2048,wp.txt,37360
manualVecSize_32,wp.txt,44103
manualVecSize_32,long.txt,15318
manualVecSize_64,wp.txt,50403
manualVecSize_64,long.txt,16034
manualVecSize_128,wp.txt,53833
manualVecSize_128,long.txt,16073
manualVecSize_256,wp.txt,55064
manualVecSize_256,long.txt,16263
manualVecSize_512,wp.txt,55359
manualVecSize_512,long.txt,16034
manualVecSize_1024,long.txt,14629
manualVecSize_1024,wp.txt,52007
manualVecSize_2048,wp.txt,50111
manualVecSize_2048,long.txt,14793
manualVecStrlen_32,wp.txt,25289
manualVecStrlen_32,long.txt,7882
manualVecStrlen_64,wp.txt,27344
manualVecStrlen_64,long.txt,8062
manualVecStrlen_128,wp.txt,28323
manualVecStrlen_128,long.txt,8073
manualVecStrlen_256,wp.txt,28642
manualVecStrlen_256,long.txt,8126
manualVecStrlen_512,wp.txt,28693
manualVecStrlen_512,long.txt,8065
manualVecStrlen_1024,wp.txt,27918
manualVecStrlen_1024,long.txt,7695
manualVecStrlen_2048,wp.txt,27494
manualVecStrlen_2048,long.txt,7763
