algo,input,mib_per_s
naive,wp.txt,962
naive,long.txt,957
naiveLessBranches,long.txt,1206
naiveLessBranches,wp.txt,1207
naiveTableChar,wp.txt,1865
naiveTableChar,long.txt,1855
naiveTableInt,wp.txt,1894
naiveTableInt,long.txt,1883
autoVec_64_Orig,long.txt,9748
autoVec_64_Orig,wp.txt,14214
autoVec_32,long.txt,8504
autoVec_32,wp.txt,11161
autoVec_64,long.txt,9600
autoVec_64,wp.txt,13875
autoVec_128_WithOverflow,long.txt,10773
autoVec_128_WithOverflow,wp.txt,17270
autoVec_128,long.txt,9845
autoVec_128,wp.txt,13981
autoVec_128_IntStepCounter,wp.txt,8536
autoVec_128_IntStepCounter,long.txt,7122
autoVec_256,long.txt,10534
autoVec_256,wp.txt,14791
autoVec_256_IntStepCounter,long.txt,7419
autoVec_256_IntStepCounter,wp.txt,8576
autoVec_512,wp.txt,13598
autoVec_512,long.txt,10709
autoVec_1024,long.txt,9351
autoVec_1024,wp.txt,12574
autoVec_2048,long.txt,8658
autoVec_2048,wp.txt,11475
manualVec_64_Orig,long.txt,10643
manualVec_64_Orig,wp.txt,17180
manualVec_32,long.txt,10583
manualVec_32,wp.txt,15888
manualVec_64,long.txt,11165
manualVec_64,wp.txt,19526
manualVec_128,wp.txt,22361
manualVec_128,long.txt,11723
manualVec_256,wp.txt,24539
manualVec_256,long.txt,12114
manualVec_512,long.txt,12636
manualVec_512,wp.txt,25799
manualVec_1024,wp.txt,26965
manualVec_1024,long.txt,13450
manualVec_2048,long.txt,12803
manualVec_2048,wp.txt,26492
manualVecSize_32,wp.txt,23797
manualVecSize_32,long.txt,12207
manualVecSize_64,wp.txt,26320
manualVecSize_64,long.txt,12443
manualVecSize_128,wp.txt,27900
manualVecSize_128,long.txt,12750
manualVecSize_256,wp.txt,28706
manualVecSize_256,long.txt,13118
manualVecSize_512,wp.txt,28770
manualVecSize_512,long.txt,13449
manualVecSize_1024,long.txt,13584
manualVecSize_1024,wp.txt,28897
manualVecSize_2048,wp.txt,27050
manualVecSize_2048,long.txt,13067
manualVecStrlen_32,wp.txt,13309
manualVecStrlen_32,long.txt,6546
manualVecStrlen_64,wp.txt,14057
manualVecStrlen_64,long.txt,6606
manualVecStrlen_128,wp.txt,14494
manualVecStrlen_128,long.txt,6687
manualVecStrlen_256,wp.txt,14706
manualVecStrlen_256,long.txt,6790
manualVecStrlen_512,wp.txt,14717
manualVecStrlen_512,long.txt,6883
manualVecStrlen_1024,wp.txt,14755
manualVecStrlen_1024,long.txt,6921
manualVecStrlen_2048,wp.txt,14249
manualVecStrlen_2048,long.txt,6817
